center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
21h36m39.2s,+35d33m00.0s,21h37m46.0s,+35d40m11.9s,37,2,IC   1392,148,3.6097560975609757,none
21h35m40.2s,+35d33m00.0s,21h36m46.9s,+35d40m10.6s,30,2,IC   1392,120,2.926829268292683,none
19h42m05.2s,+50d33m00.0s,19h42m47.9s,+50d36m49.9s,52,1,A   1940+50,52,1.2682926829268293,none
19h40m59.0s,+50d45m00.0s,19h41m41.4s,+50d48m47.6s,47,1,A   1940+50,47,1.146341463414634,none
19h59m00.9s,+49d57m00.0s,19h59m45.9s,+50d01m24.7s,47,1,,47,1.146341463414634,none
19h42m14.9s,+50d45m00.0s,19h42m57.4s,+50d48m50.3s,43,1,A   1940+50,43,1.048780487804878,none
19h40m49.6s,+50d33m00.0s,19h41m32.2s,+50d36m47.3s,43,1,A   1940+50,43,1.048780487804878,none
19h59m14.7s,+50d09m00.0s,19h59m59.4s,+50d13m25.2s,43,1,,43,1.048780487804878,none
19h41m53.9s,+56d21m00.0s,19h42m27.4s,+56d24m49.4s,41,1,NGC  6824,41,1.0,none
19h43m59.1s,+45d09m00.0s,19h44m48.7s,+45d12m54.0s,41,1,,41,1.0,none
19h57m59.8s,+50d09m00.0s,19h58m44.4s,+50d13m22.7s,41,1,,41,1.0,none
19h41m43.0s,+45d09m00.0s,19h42m32.4s,+45d12m49.3s,41,1,,41,1.0,none
19h41m51.0s,+45d21m00.0s,19h42m40.2s,+45d24m49.5s,41,1,,41,1.0,none
19h44m21.8s,+55d57m00.0s,19h44m56.2s,+56d00m54.5s,40,1,NGC  6824,40,0.975609756097561,none
19h57m46.3s,+49d57m00.0s,19h58m31.2s,+50d01m22.2s,40,1,,40,0.975609756097561,none
19h44m07.6s,+45d21m00.0s,19h44m56.9s,+45d24m54.3s,39,1,,39,0.9512195121951219,none
21h37m02.2s,+35d45m00.0s,21h38m08.9s,+35d52m12.5s,39,1,,39,0.9512195121951219,none
19h44m34.4s,+56d09m00.0s,19h45m08.5s,+56d12m55.0s,39,1,NGC  6824,39,0.9512195121951219,none
21h04m15.6s,+29d57m00.0s,21h05m23.0s,+30d03m23.9s,39,1,NGC  7013,39,0.9512195121951219,none
19h42m51.1s,+45d09m00.0s,19h43m40.6s,+45d12m51.6s,38,1,,38,0.926829268292683,none
19h42m59.3s,+45d21m00.0s,19h43m48.6s,+45d24m51.9s,37,1,,37,0.9024390243902439,none
21h36m16.5s,+35d21m00.0s,21h37m23.3s,+35d28m11.4s,36,1,IC   1392,36,0.8780487804878049,none
21h37m38.2s,+35d33m00.0s,21h38m45.1s,+35d40m13.3s,36,1,,36,0.8780487804878049,none
19h30m17.7s,+54d09m00.0s,19h30m54.0s,+54d12m24.8s,36,1,A   1930+54,36,0.8780487804878049,none
21h03m20.2s,+29d57m00.0s,21h04m27.5s,+30d03m22.4s,35,1,NGC  7013,35,0.8536585365853658,none
19h31m47.7s,+54d21m00.0s,19h32m23.8s,+54d24m28.0s,35,1,A   1930+54,35,0.8536585365853658,none
19h43m20.5s,+56d21m00.0s,19h43m54.1s,+56d24m52.4s,35,1,NGC  6824,35,0.8536585365853658,none
19h44m47.1s,+56d21m00.0s,19h45m20.9s,+56d24m55.4s,35,1,NGC  6824,35,0.8536585365853658,none
19h43m08.2s,+56d09m00.0s,19h43m42.2s,+56d12m52.0s,34,1,NGC  6824,34,0.8292682926829268,none
21h04m01.1s,+29d45m00.0s,21h05m08.7s,+29d51m23.5s,33,1,NGC  7013,33,0.8048780487804879,none
21h03m05.8s,+29d45m00.0s,21h04m13.3s,+29d51m22.1s,33,1,NGC  7013,33,0.8048780487804879,none
21h35m17.6s,+35d21m00.0s,21h36m24.4s,+35d28m10.1s,33,1,IC   1392,33,0.8048780487804879,none
19h30m25.4s,+54d21m00.0s,19h31m01.3s,+54d24m25.1s,33,1,A   1930+54,33,0.8048780487804879,none
21h34m18.8s,+35d21m00.0s,21h35m25.5s,+35d28m08.7s,33,1,IC   1392,33,0.8048780487804879,none
19h31m39.7s,+54d09m00.0s,19h32m16.0s,+54d12m27.8s,32,1,A   1930+54,32,0.7804878048780488,none
21h34m55.2s,+35d09m00.0s,21h36m02.1s,+35d16m09.6s,31,1,IC   1392,31,0.7560975609756098,none
21h36m03.0s,+35d45m00.0s,21h37m09.6s,+35d52m11.1s,31,1,,31,0.7560975609756098,none
21h35m54.0s,+35d09m00.0s,21h37m00.9s,+35d16m10.9s,30,1,IC   1392,30,0.7317073170731707,none
21h02m24.8s,+29d57m00.0s,21h03m32.1s,+30d03m20.9s,26,1,NGC  7013,26,0.6341463414634146,none
19h31m31.7s,+53d57m00.0s,19h32m08.4s,+54d00m27.5s,26,1,A   1930+54,26,0.6341463414634146,none
19h30m10.1s,+53d57m00.0s,19h30m46.7s,+54d00m24.6s,25,1,A   1930+54,25,0.6097560975609756,none
19h42m56.1s,+55d57m00.0s,19h43m30.4s,+56d00m51.5s,25,1,NGC  6824,25,0.6097560975609756,none
21h34m41.2s,+35d33m00.0s,21h35m47.8s,+35d40m09.3s,24,1,IC   1392,24,0.5853658536585366,none
19h09m22.4s,+50d45m00.0s,19h10m02.6s,+50d47m39.3s,22,1,NGC  6764,22,0.5365853658536586,none
19h09m25.2s,+51d09m00.0s,19h10m04.8s,+51d11m39.4s,22,1,NGC  6764,22,0.5365853658536586,none
19h09m23.8s,+50d57m00.0s,19h10m03.7s,+50d59m39.4s,16,1,NGC  6764,16,0.3902439024390244,none
19h08m08.7s,+51d09m00.0s,19h08m48.2s,+51d11m36.6s,11,1,NGC  6764,11,0.2682926829268293,none
19h44m04.5s,+27d57m00.0s,19h45m09.2s,+28d00m54.5s,49,0,,0,0.0,none
19h44m58.8s,+27d57m00.0s,19h46m03.5s,+28d00m56.3s,26,0,,0,0.0,none
19h20m33.5s,+28d09m00.0s,19h21m37.3s,+28d12m04.3s,21,0,,0,0.0,none
19h21m28.0s,+28d09m00.0s,19h22m31.8s,+28d12m06.3s,46,0,,0,0.0,none
19h22m22.4s,+28d09m00.0s,19h23m26.2s,+28d12m08.3s,51,0,,0,0.0,none
19h23m16.8s,+28d09m00.0s,19h24m20.7s,+28d12m10.2s,61,0,,0,0.0,none
19h24m11.3s,+28d09m00.0s,19h25m15.2s,+28d12m12.2s,68,0,,0,0.0,none
19h25m05.7s,+28d09m00.0s,19h26m09.6s,+28d12m14.1s,58,0,,0,0.0,none
19h26m00.2s,+28d09m00.0s,19h27m04.1s,+28d12m16.1s,48,0,,0,0.0,none
19h26m54.6s,+28d09m00.0s,19h27m58.6s,+28d12m18.1s,40,0,,0,0.0,none
19h27m49.0s,+28d09m00.0s,19h28m53.0s,+28d12m20.0s,47,0,,0,0.0,none
19h28m43.5s,+28d09m00.0s,19h29m47.5s,+28d12m22.0s,43,0,,0,0.0,none
19h29m37.9s,+28d09m00.0s,19h30m42.0s,+28d12m23.9s,58,0,,0,0.0,none
19h30m32.4s,+28d09m00.0s,19h31m36.4s,+28d12m25.9s,62,0,,0,0.0,none
19h31m26.8s,+28d09m00.0s,19h32m30.9s,+28d12m27.8s,73,0,,0,0.0,none
19h32m21.2s,+28d09m00.0s,19h33m25.4s,+28d12m29.7s,58,0,,0,0.0,none
19h33m15.7s,+28d09m00.0s,19h34m19.8s,+28d12m31.7s,72,0,,0,0.0,none
19h34m10.1s,+28d09m00.0s,19h35m14.3s,+28d12m33.6s,72,0,,0,0.0,none
