center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h22m22.7s,+12d56m36.0s,12h23m43.5s,+12d47m46.8s,2,0,,0,0.0,none
12h22m47.3s,+12d56m36.0s,12h24m08.1s,+12d47m46.9s,1,0,,0,0.0,none
12h23m12.0s,+12d56m36.0s,12h24m32.7s,+12d47m47.0s,3,0,,0,0.0,none
12h23m36.6s,+12d56m36.0s,12h24m57.3s,+12d47m47.1s,2,0,,0,0.0,none
12h24m01.2s,+12d56m36.0s,12h25m22.0s,+12d47m47.2s,4,0,,0,0.0,none
12h24m25.8s,+12d56m36.0s,12h25m46.6s,+12d47m47.3s,3,0,,0,0.0,none
12h37m21.6s,+10d02m36.0s,12h38m42.2s,+09d53m51.4s,2,0,,0,0.0,none
12h18m16.1s,+10d08m36.0s,12h19m37.2s,+09d59m46.0s,6,0,,0,0.0,none
12h25m39.7s,+12d56m36.0s,12h27m00.4s,+12d47m47.6s,0,3,NGC  4374; NGC  4387; NGC  4406,0,0.0,none
12h26m04.3s,+12d56m36.0s,12h27m25.0s,+12d47m47.8s,0,2,NGC  4387; NGC  4406,0,0.0,none
12h26m29.0s,+12d56m36.0s,12h27m49.6s,+12d47m47.9s,0,1,NGC  4406,0,0.0,none
12h26m53.6s,+12d56m36.0s,12h28m14.2s,+12d47m48.0s,0,0,,0,0.0,none
12h27m18.2s,+12d56m36.0s,12h28m38.8s,+12d47m48.1s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h27m42.8s,+12d56m36.0s,12h29m03.5s,+12d47m48.2s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h28m07.5s,+12d56m36.0s,12h29m28.1s,+12d47m48.3s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h28m32.1s,+12d56m36.0s,12h29m52.7s,+12d47m48.4s,3,0,,0,0.0,none
12h28m56.7s,+12d56m36.0s,12h30m17.3s,+12d47m48.6s,3,0,,0,0.0,none
12h29m21.4s,+12d56m36.0s,12h30m41.9s,+12d47m48.7s,4,0,,0,0.0,none
12h29m46.0s,+12d56m36.0s,12h31m06.5s,+12d47m48.8s,2,0,,0,0.0,none
12h30m10.6s,+12d56m36.0s,12h31m31.1s,+12d47m48.9s,2,0,,0,0.0,none
12h30m35.2s,+12d56m36.0s,12h31m55.7s,+12d47m49.1s,2,0,,0,0.0,none
12h30m59.9s,+12d56m36.0s,12h32m20.3s,+12d47m49.2s,3,0,,0,0.0,none
12h31m24.5s,+12d56m36.0s,12h32m45.0s,+12d47m49.3s,3,0,,0,0.0,none
12h31m49.1s,+12d56m36.0s,12h33m09.6s,+12d47m49.5s,2,0,,0,0.0,none
12h32m13.7s,+12d56m36.0s,12h33m34.2s,+12d47m49.6s,1,0,,0,0.0,none
12h32m38.4s,+12d56m36.0s,12h33m58.8s,+12d47m49.7s,1,0,,0,0.0,none
12h33m03.0s,+12d56m36.0s,12h34m23.4s,+12d47m49.9s,1,0,,0,0.0,none
12h33m27.6s,+12d56m36.0s,12h34m48.0s,+12d47m50.0s,0,0,,0,0.0,none
12h33m52.2s,+12d56m36.0s,12h35m12.6s,+12d47m50.2s,0,1,NGC  4531,0,0.0,none
12h18m40.5s,+10d08m36.0s,12h20m01.5s,+09d59m46.0s,2,0,,0,0.0,none
12h19m04.9s,+10d08m36.0s,12h20m25.9s,+09d59m46.1s,3,0,,0,0.0,none
12h35m06.1s,+12d56m36.0s,12h36m26.5s,+12d47m50.6s,2,0,,0,0.0,none
12h35m30.7s,+12d56m36.0s,12h36m51.1s,+12d47m50.8s,1,0,,0,0.0,none
12h35m55.4s,+12d56m36.0s,12h37m15.7s,+12d47m50.9s,3,0,,0,0.0,none
12h36m20.0s,+12d56m36.0s,12h37m40.3s,+12d47m51.1s,4,0,,0,0.0,none
12h36m44.6s,+12d56m36.0s,12h38m04.9s,+12d47m51.2s,4,0,,0,0.0,none
12h37m09.2s,+12d56m36.0s,12h38m29.5s,+12d47m51.4s,2,0,,0,0.0,none
12h18m16.5s,+13d02m36.0s,12h19m37.4s,+12d53m46.0s,5,0,,0,0.0,none
12h18m41.1s,+13d02m36.0s,12h20m02.0s,+12d53m46.0s,3,0,,0,0.0,none
12h19m05.7s,+13d02m36.0s,12h20m26.6s,+12d53m46.1s,3,0,,0,0.0,none
12h19m30.4s,+13d02m36.0s,12h20m51.3s,+12d53m46.2s,2,0,,0,0.0,none
