center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h19m59.5s,+05d21m00.0s,12h21m20.8s,+05d12m10.2s,3,5,NGC  4268; NGC  4270; NGC  4273; NGC  4277; NGC  4281,75,37.5,A
12h36m10.6s,+11d21m00.0s,12h37m31.1s,+11d12m14.9s,7,3,NGC  4564; NGC  4567; NGC  4568,63,31.5,A
12h27m47.9s,+12d21m00.0s,12h29m08.6s,+12d12m12.2s,4,3,NGC  4431; NGC  4436; NGC  4440,36,18.0,A
12h26m14.3s,+12d45m00.0s,12h27m35.0s,+12d36m11.7s,3,3,NGC  4387; NGC  4388; NGC  4413,27,13.5,A
12h30m16.6s,+12d27m00.0s,12h31m37.1s,+12d18m12.9s,3,3,NGC  4476; NGC  4478; NGC  4486,27,13.5,A
