center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h36m13.3s,+11d20m36.0s,12h37m33.8s,+11d11m51.0s,7,3,NGC  4564; NGC  4567; NGC  4568,63,31.5,A
12h30m33.7s,+12d26m36.0s,12h31m54.3s,+12d17m49.1s,5,3,NGC  4476; NGC  4478; NGC  4486,45,22.5,A
12h27m41.4s,+12d20m36.0s,12h29m02.1s,+12d11m48.2s,4,3,NGC  4431; NGC  4436; NGC  4440,36,18.0,A
12h26m03.9s,+12d44m36.0s,12h27m24.6s,+12d35m47.8s,3,3,NGC  4387; NGC  4388; NGC  4413,27,13.5,A
