center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
11h44m00.2s,+01d30m00.0s,11h45m21.8s,+01d21m09.3s,26,0,,0,0.0,none
11h42m00.1s,+01d30m00.0s,11h43m21.8s,+01d21m09.7s,26,0,,0,0.0,none
11h40m00.1s,+01d30m00.0s,11h41m21.8s,+01d21m10.0s,25,0,,0,0.0,none
11h38m00.0s,+01d30m00.0s,11h39m21.7s,+01d21m10.4s,16,0,,0,0.0,none
15h08m01.9s,+01d00m00.0s,15h09m23.1s,+00d53m58.5s,34,0,,0,0.0,none
15h02m01.9s,+01d00m00.0s,15h03m23.1s,+00d53m48.4s,26,0,,0,0.0,none
15h00m01.9s,+01d00m00.0s,15h01m23.1s,+00d53m45.1s,22,0,,0,0.0,none
14h58m01.8s,+01d00m00.0s,14h59m23.0s,+00d53m41.8s,29,0,,0,0.0,none
14h56m01.8s,+01d00m00.0s,14h57m23.0s,+00d53m38.6s,37,0,,0,0.0,none
14h54m01.8s,+01d00m00.0s,14h55m23.0s,+00d53m35.3s,33,0,,0,0.0,none
14h52m01.8s,+01d00m00.0s,14h53m23.0s,+00d53m32.2s,31,0,,0,0.0,none
14h50m01.8s,+01d00m00.0s,14h51m23.0s,+00d53m29.0s,32,0,,0,0.0,none
12h20m00.9s,+01d30m00.0s,12h21m22.4s,+01d21m10.3s,20,0,,0,0.0,none
12h18m00.9s,+01d30m00.0s,12h19m22.4s,+01d21m09.9s,28,0,,0,0.0,none
12h16m00.8s,+01d30m00.0s,12h17m22.4s,+01d21m09.5s,26,0,,0,0.0,none
13h29m07.5s,+13d30m00.0s,13h30m25.9s,+13d21m48.4s,33,0,,0,0.0,none
12h10m00.7s,+01d30m00.0s,12h11m22.3s,+01d21m08.7s,20,0,,0,0.0,none
12h08m00.7s,+01d30m00.0s,12h09m22.2s,+01d21m08.5s,20,0,,0,0.0,none
13h27m04.1s,+13d30m00.0s,13h28m22.6s,+13d21m46.6s,30,0,,0,0.0,none
13h10m36.9s,+13d30m00.0s,13h11m55.9s,+13d21m33.7s,14,0,,0,0.0,none
12h00m00.5s,+01d30m00.0s,12h01m22.1s,+01d21m08.1s,21,0,,0,0.0,none
11h58m00.5s,+01d30m00.0s,11h59m22.1s,+01d21m08.1s,17,0,,0,0.0,none
11h56m00.4s,+01d30m00.0s,11h57m22.0s,+01d21m08.2s,13,0,,0,0.0,none
11h54m00.4s,+01d30m00.0s,11h55m22.0s,+01d21m08.3s,11,0,,0,0.0,none
11h52m00.3s,+01d30m00.0s,11h53m22.0s,+01d21m08.4s,12,0,,0,0.0,none
11h50m00.3s,+01d30m00.0s,11h51m21.9s,+01d21m08.6s,22,0,,0,0.0,none
13h20m53.9s,+13d30m00.0s,13h22m12.6s,+13d21m41.5s,19,0,,0,0.0,none
12h50m01.5s,+01d30m00.0s,12h51m22.9s,+01d21m21.1s,27,0,,0,0.0,none
12h48m01.5s,+01d30m00.0s,12h49m22.9s,+01d21m20.1s,28,0,,0,0.0,none
12h46m01.4s,+01d30m00.0s,12h47m22.9s,+01d21m19.1s,28,0,,0,0.0,none
12h36m01.2s,+01d30m00.0s,12h37m22.7s,+01d21m14.9s,27,0,,0,0.0,none
12h34m01.2s,+01d30m00.0s,12h35m22.7s,+01d21m14.2s,22,0,,0,0.0,none
12h32m01.2s,+01d30m00.0s,12h33m22.6s,+01d21m13.5s,25,0,,0,0.0,none
12h30m01.1s,+01d30m00.0s,12h31m22.6s,+01d21m12.9s,30,0,,0,0.0,none
12h28m01.1s,+01d30m00.0s,12h29m22.6s,+01d21m12.3s,24,0,,0,0.0,none
12h26m01.0s,+01d30m00.0s,12h27m22.5s,+01d21m11.7s,24,0,,0,0.0,none
12h24m01.0s,+01d30m00.0s,12h25m22.5s,+01d21m11.2s,21,0,,0,0.0,none
12h22m00.9s,+01d30m00.0s,12h23m22.5s,+01d21m10.7s,12,0,,0,0.0,none
13h24m02.2s,+01d30m00.0s,13h25m23.5s,+01d21m44.1s,29,0,,0,0.0,none
13h22m02.2s,+01d30m00.0s,13h23m23.5s,+01d21m42.4s,28,0,,0,0.0,none
13h20m02.1s,+01d30m00.0s,13h21m23.4s,+01d21m40.8s,26,0,,0,0.0,none
13h18m02.1s,+01d30m00.0s,13h19m23.4s,+01d21m39.2s,26,0,,0,0.0,none
13h16m02.1s,+01d30m00.0s,13h17m23.4s,+01d21m37.7s,25,0,,0,0.0,none
13h14m02.0s,+01d30m00.0s,13h15m23.3s,+01d21m36.2s,27,0,,0,0.0,none
13h12m02.0s,+01d30m00.0s,13h13m23.3s,+01d21m34.7s,32,0,,0,0.0,none
13h10m01.9s,+01d30m00.0s,13h11m23.3s,+01d21m33.3s,25,0,,0,0.0,none
13h08m01.9s,+01d30m00.0s,13h09m23.2s,+01d21m31.9s,21,0,,0,0.0,none
13h06m01.9s,+01d30m00.0s,13h07m23.2s,+01d21m30.5s,20,0,,0,0.0,none
13h04m01.8s,+01d30m00.0s,13h05m23.2s,+01d21m29.2s,14,0,,0,0.0,none
13h02m01.8s,+01d30m00.0s,13h03m23.1s,+01d21m27.9s,14,0,,0,0.0,none
13h00m01.7s,+01d30m00.0s,13h01m23.1s,+01d21m26.7s,23,0,,0,0.0,none
13h18m50.5s,+13d30m00.0s,13h20m09.2s,+13d21m39.8s,21,0,,0,0.0,none
13h16m47.1s,+13d30m00.0s,13h18m05.9s,+13d21m38.2s,19,0,,0,0.0,none
13h14m43.7s,+13d30m00.0s,13h16m02.5s,+13d21m36.7s,14,0,,0,0.0,none
13h56m02.9s,+01d30m00.0s,13h57m24.1s,+01d22m15.7s,34,0,,0,0.0,none
13h54m02.8s,+01d30m00.0s,13h55m24.0s,+01d22m13.4s,30,0,,0,0.0,none
13h52m02.8s,+01d30m00.0s,13h53m24.0s,+01d22m11.2s,24,0,,0,0.0,none
13h50m02.8s,+01d30m00.0s,13h51m24.0s,+01d22m09.0s,23,0,,0,0.0,none
13h48m02.7s,+01d30m00.0s,13h49m23.9s,+01d22m06.9s,31,0,,0,0.0,none
13h46m02.7s,+01d30m00.0s,13h47m23.9s,+01d22m04.8s,32,0,,0,0.0,none
13h44m02.6s,+01d30m00.0s,13h45m23.8s,+01d22m02.7s,22,0,,0,0.0,none
13h42m02.6s,+01d30m00.0s,13h43m23.8s,+01d22m00.7s,20,0,,0,0.0,none
13h40m02.6s,+01d30m00.0s,13h41m23.8s,+01d21m58.7s,26,0,,0,0.0,none
13h38m02.5s,+01d30m00.0s,13h39m23.7s,+01d21m56.7s,30,0,,0,0.0,none
