center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
03h17m59.8s,+41d48m00.0s,03h19m45.6s,+41d53m43.9s,92,7,NGC  1250; IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,4508,50.08888888888889,B
03h17m39.3s,+41d36m00.0s,03h19m25.0s,+41d41m44.5s,86,7,NGC  1250; IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,4214,46.82222222222222,C
03h18m23.0s,+41d24m00.0s,03h20m08.6s,+41d29m43.2s,97,6,IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,3492,38.8,B
03h17m19.0s,+41d24m00.0s,03h19m04.5s,+41d29m45.1s,90,6,NGC  1250; IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278,3240,36.0,B
03h18m43.5s,+41d36m00.0s,03h20m29.2s,+41d41m42.6s,89,6,IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,3204,35.6,C
03h19m04.2s,+41d48m00.0s,03h20m50.1s,+41d53m41.9s,86,6,IC    310; NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,3096,34.4,C
03h20m31.0s,+41d24m00.0s,03h22m16.7s,+41d29m39.4s,99,5,NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2475,27.500000000000004,B
03h19m06.5s,+41d12m00.0s,03h20m52.0s,+41d17m41.9s,96,5,IC    310; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2400,26.666666666666668,B
03h19m27.0s,+41d24m00.0s,03h21m12.6s,+41d29m41.3s,94,5,NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2350,26.111111111111114,B
03h18m02.7s,+41d12m00.0s,03h19m48.1s,+41d17m43.8s,93,5,IC    310; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2325,25.833333333333336,B
03h20m51.9s,+41d36m00.0s,03h22m37.8s,+41d41m38.7s,89,5,NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2225,24.72222222222222,C
03h20m08.6s,+41d48m00.0s,03h21m54.6s,+41d53m40.0s,89,5,NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2225,24.72222222222222,C
03h19m47.7s,+41d36m00.0s,03h21m33.5s,+41d41m40.7s,82,5,NGC  1265; NGC  1272; NGC  1275; NGC  1278; NGC  1282,2050,22.77777777777778,C
03h21m14.1s,+41d12m00.0s,03h22m59.7s,+41d17m38.1s,105,4,NGC  1272; NGC  1275; NGC  1278; NGC  1282,1680,18.666666666666668,B
