source_id,ra_deg,dec_deg,mag
3492438710985379072,177.6787282613401,-22.863486799701803,10.341583
3492510213600842240,177.29111022929638,-22.486159460508745,10.093135
3493784169620048896,178.86782148163516,-22.38792556644123,9.976337
3493961981266698624,178.17045974154314,-22.285324211931407,10.941394
3494217716502671232,178.37642739298136,-21.092193997993423,11.832424
3540059556016954880,174.5148821344666,-23.384497256595388,11.7989235
3540285230777137152,174.44816305081198,-22.750797278244253,11.270966
3540564678530833280,176.40586186032382,-22.190598973834767,10.917414
3540577872670517248,177.02057513254957,-22.101448158856428,9.869891
3540599210068008320,176.76775125208735,-21.894071185991557,11.663618
3540661813511103232,176.2097424944759,-21.697206954750552,11.493124
3540688133070577920,175.12249177759378,-22.351973764252666,11.521784
3540726375459471616,175.60675342860208,-21.891622128970646,9.502481
3540761525471686400,174.87785883921697,-21.888597131511833,11.902918
3540803032035601024,174.82092594073035,-21.67338567752622,10.802966
3540815092304480128,175.81781777882767,-21.970444573926393,11.15565
3540850414115171456,176.18794120595595,-21.61580907693946,11.773541
3540916109934727168,175.32729104881562,-21.245779485353353,11.24997
3541572724535153024,174.57509133373873,-21.43982676299418,11.704564
3541655802085376384,174.25335586825724,-20.901578937446192,11.207204
3541667935370361984,175.2782219648129,-21.16850550464015,10.22197
3541708514221067008,175.497336466529,-20.76015115380501,11.252202
3541766341659022464,175.09503857362733,-20.61394677210313,11.102581
3541968273841480960,174.33086711016085,-20.324669589969247,9.866981
3542098291093167872,177.38547726505755,-21.59517964648586,10.636325
3542353858826978816,177.87583260710463,-20.404614547020692,10.730643
3542476591812467968,176.50048864488997,-20.460775325279954,10.492725
3542478481598160000,176.62885082110364,-20.48202402158443,11.98959
3542719343363379968,178.1564256672123,-20.271549634694473,11.728995
3542961991836899968,178.2304715923335,-19.704196793731455,9.005638
3543291055048972288,175.51448399824272,-20.12789675978584,11.146201
3543303871233148672,175.42917447998389,-20.07346949565797,9.72188
3543340429994839552,175.71589355500004,-19.696146146973405,11.6706
3543346168071156480,175.82014622371724,-19.574175579690664,10.067266
3543421725135613696,176.16001984578395,-19.628314662050624,11.34693
3543547241259891072,175.11593734851868,-19.454853127922032,8.470715
3543895408489144064,177.09360774537856,-18.57574811034388,11.270795
3546585844722474240,174.33963585035087,-19.41421841623836,10.742673
3546604742578533632,174.31388926300264,-19.18584475012282,10.674517
3492417579746237568,177.31382255824062,-22.91742992907019,11.568598
3492926447471298688,178.9497620376193,-23.12947292175504,11.531658
3493892265357234304,179.07783460247515,-22.052964282308885,10.969336
3494607050994244096,178.8121613627209,-20.678113400927963,11.185229
3540089758227107200,175.20411090502606,-22.978603579264057,11.535757
3540296019736622208,174.9100020551803,-22.759240779316965,10.200548
3540298356198858112,175.02870894021498,-22.678135884892125,11.896364
3540331547705940224,174.23096993045976,-22.745443853577864,11.381901
3540334468283708416,174.22920159981877,-22.651390207545465,9.5634165
3540403668797069824,176.0445574411744,-23.019791198443144,9.244043
3540658029643133184,176.33098569415964,-21.72791097701274,11.948603
3540669235214654336,176.58151476862267,-21.483456657044382,10.397145
3540854812161683712,176.10118728291752,-21.53866120126126,11.686461
3540871270476328704,176.08161633552962,-21.33720456722384,11.926832
3540910955973968512,175.22545367638148,-21.27440743506724,11.157806
3541557674969792512,174.80568885553816,-21.485012131259477,9.891401
3541590213641838976,174.03434682260675,-21.6032401042217,10.363427
3541592515744315904,174.13573711559343,-21.519990226220294,10.30696
3541670752868584576,175.37659468631358,-21.05458225608375,11.611562
3541706864953948416,175.72377569037542,-20.713484474260014,10.668906
3541945940012905600,174.23355586365798,-20.60965620641931,10.9345
3542069188392771200,174.09648670436883,-19.787108798469482,11.247473
3542388527801278720,176.31205385289147,-20.94651561554633,10.507456
3542460236577417088,176.1340769746754,-20.663703584115172,10.959226
3542502670853843968,176.45126217131647,-20.163419512354817,10.63632
3542582110569512576,176.8698025320897,-20.140256537648057,10.351172
3542664917537897472,178.5490212003484,-20.399818641883066,11.69279
3543065139771869312,177.93477883506745,-18.883570482535738,10.1294
3543134237204501120,178.82942178941568,-18.64244805355199,11.53866
3543364962846454144,176.68546977437956,-19.671089189697156,10.718759
3543390560853109888,176.8663425517137,-19.536392371444766,11.133331
3543425298548408320,176.17974870824096,-19.571505585593464,11.735902
3543537757972186368,175.52271616266668,-19.46728332299143,11.5768
3543615857657370112,174.96887154083555,-19.10669525620174,9.73519
3543799785337345024,177.2496010130743,-19.009036547591098,10.945093
3543856444545823744,177.0831624341339,-18.760612715079297,11.206798
3546705691489891712,174.55382545928518,-18.506869568177763,11.933853
3492248564192931072,177.61108985079085,-22.974287573260884,11.58529
3492322231473023104,176.87004452203962,-23.25019433981045,10.707079
3492347039203966976,176.2851240974006,-23.24477430279821,11.405306
3492489116721840896,176.6459121640084,-22.777896476507358,10.606463
3492490143218083968,176.59943853332808,-22.752026171765767,11.905019
3493057186275753472,179.3412459772123,-22.69659308786334,10.932777
3493736267848982016,179.0056845987021,-22.439656190311595,11.642248
3493761801430189312,177.95940973537097,-22.611985754404166,11.778462
3493782348553912320,178.8243178199193,-22.44038199489856,10.488729
3493979092416034944,177.94045051906733,-22.157731289366787,10.868923
3493980569884726144,177.80571241286728,-22.184855826940662,10.777513
3494126358254447616,178.90577487589567,-21.606248836133155,9.860076
3494532490362110976,179.24628604235295,-21.065717943039505,11.560289
3494623028272620928,179.18534073221727,-20.596205471284954,11.140294
3540032446183567232,175.4591465857536,-23.24852107670415,9.148276
3540303338360902144,174.87439594930967,-22.596391892082764,9.139067
3540317254054888576,174.79890529199665,-22.466079883334174,11.688068
3540320002833955328,174.714523649543,-22.465443249021153,10.269197
3540350823519101440,174.08426314368648,-22.544973867369304,10.826849
3540371920399058304,174.45772527650936,-22.335660692835965,11.857637
3540437650578377856,176.2594295121965,-22.753461659573034,11.998106
3540451222674915584,175.8935391856755,-22.64712452799467,11.261717
3540468746141331712,175.3347096069013,-22.806843298980354,8.510798
3540470223608216064,175.48095938079294,-22.723923156020213,11.025852
3540596255129030144,176.83716581219744,-21.92411067283945,11.110299
3540663703296763392,176.34919476478257,-21.61053482317261,9.779575
3540669716250980352,176.37258140703324,-21.573104310729917,11.056576
3540788016829998336,175.06634124551027,-21.731026938329926,11.88473
3540932362091526528,176.02295588473768,-21.04256541473196,10.113764
3541565886947257216,174.95801719623674,-21.35702380287658,11.892566
3541949753943923072,174.60555832479852,-20.526495587366252,11.363631
3541987893253549184,174.97170263879823,-20.090366018762214,11.728095
3542004729525339136,174.86886780280278,-19.97174892769495,11.454666
3542089495000078592,177.21050471418448,-21.754195521003712,11.989676
3542350319772089472,177.65579268577744,-20.41732134592114,11.133905
3542569771125968384,177.44261002452677,-19.969109292967936,11.166912
3542601420742468480,176.81202573663754,-20.011878077950957,10.124829
3542671067931068032,178.6223119017282,-20.36477221576782,11.187904
3542819261483101184,179.23621573980043,-19.54053606072336,10.996132
3543099911825804416,178.63952167354503,-18.926680828045164,11.353095
3543155196643272064,178.10445375561855,-18.906684743208857,11.602221
3543269820732614656,176.1103199406341,-20.027063776346022,11.425139
3543339948958506240,175.83398184203472,-19.683657883409857,11.933819
3543369154736398464,176.35476750890183,-19.753033735765683,10.5437975
3543396573807326976,176.93937088022216,-19.495250865658285,8.972416
3543479930532509056,176.51325303816836,-19.105389871724736,11.049516
3543594726418317184,175.14185194128405,-19.40724647005368,11.565467
3543822153527064192,177.66888309945384,-18.73605035303839,8.819108
3544053463285853440,176.4577737399349,-18.709859015303937,11.626705
3544069200045558144,176.34451996603832,-18.641472491384544,10.773813
3545087176014016256,174.19868229476953,-19.46508239415547,11.7614155
3545102191219673216,174.14182665410755,-19.27652972725347,11.156753
3546601169166112000,174.59973171214943,-19.04791684655973,11.397717
3546650578469604224,174.82862373080656,-18.615911172079034,11.538008
3546701533961872512,174.6118324710172,-18.573121109646333,10.989548
3492334704057881472,176.23513993947864,-23.421921269770095,11.783415
3492922736619599232,179.09978536223005,-23.144278563006665,11.679761
3493702427802382592,178.57247760256956,-22.690497676977834,11.784419
3493727682210178432,178.78049167469663,-22.585984131385764,11.539094
3493810042503421568,179.3272482198103,-22.538482867311867,8.048575
3494001941642052480,178.05031337197588,-22.154076954587087,10.735022
3494185216486141184,178.09631549197752,-21.279235251222772,11.5199795
3494541630052525184,179.34292418208548,-20.91170906909875,11.777864
3494605161208631552,178.72202686784297,-20.730011470770837,11.504681
3540029452589726976,175.26214813433216,-23.300758486469157,11.837726
3540493687014403456,175.31192667147462,-22.56127804165941,11.578882
3540596942325318784,176.96066149104456,-21.90894423956641,11.310058
3540627556851934976,175.9569360843646,-22.017345375201103,11.601436
3541677556096663424,174.9506921614315,-21.11177199447971,10.967488
3541688551213020160,175.20532938357331,-20.875276022568837,11.896935
3542166971913737600,177.0118446785998,-21.359167583599874,10.265257
3542247481076618752,177.64028997253018,-20.978326756226593,11.054167
3542347055598438400,177.71574933723932,-20.45412817729143,10.640552
3542537614708340480,177.15575144892063,-20.183681628470662,11.718832
3542541600437717504,177.6389481844923,-20.263328175539034,11.144028
3542713158610594816,178.96697761908098,-19.85681996380393,9.670099
3542753496943383424,178.6863978168034,-19.93100216752778,11.185634
3542855476646946944,178.9389451223126,-19.75255174973544,11.05876
3542944983766339072,177.72628743688298,-19.819343761935713,11.42726
3542975254695923072,178.31079438788385,-19.458354291023586,11.388089
3543013531444269824,177.37918154439092,-19.612155139364116,11.802591
3543326136341945728,175.84563310448803,-19.82338213177673,6.3715544
3543404167309462272,176.6758339985663,-19.469800427974842,8.019953
3543441963021497344,175.88490887901435,-19.432626623019136,11.743255
3543635614506902400,175.65938509252018,-19.266385459868594,11.984277
3543674750248978688,176.2764048161429,-18.892205014477792,9.44494
3543727286289188224,175.39423664640555,-18.756303095583696,10.254124
3543777520226890880,177.23755373054607,-19.226669125437617,11.672457
3546589280696312576,174.3132560579001,-19.353069756602707,10.361024
3546638312042987008,174.56594033257682,-18.926335490428148,8.854855
3567150800970510592,179.15129123148105,-18.61149221813308,11.006261
3492203484216217856,177.66188879807675,-23.342960441510932,11.753411
3492441356685196288,177.5060308690826,-22.80116863116711,11.48388
3492503032415389824,176.71112113075426,-22.537334398044358,9.601594
3492852745832599936,179.32909963288438,-23.499454997098333,9.468909
3493759499327720064,178.1243541512915,-22.641593869483174,11.292409
3493911953487820288,178.95487864349693,-21.8022237398751,10.614019
3493999605180229376,178.4438977652465,-21.99904109744538,9.746805
3494019877425407872,177.5640770913929,-22.28786947791641,10.739373
3494093269826385024,178.6014471676116,-21.85832754141214,11.09016
3494125048288527104,178.96391734228823,-21.66002160503312,7.445612
3540093778316420096,174.949096835172,-23.096604202200183,10.604046
3540446721547491968,175.9670659820349,-22.725723473578118,11.173622
3540531074706766080,175.7554199133247,-22.15257787656142,10.964131
3540664184333052800,176.2330918159235,-21.62058099340549,10.9145975
3540688442308224000,175.1309262583413,-22.335228545800767,9.1376915
3540741425024817024,175.3329026026335,-21.83823716508283,11.748124
3540767091749248256,174.5174299939107,-21.99788607495504,9.777957
3540774479093012480,174.83703337413957,-21.82546501916179,11.213018
3540822891964676736,175.80822972499743,-21.740175185592584,10.831351
3540870583281555584,176.01352983656685,-21.39776974101732,10.75065
3541629138928410624,174.31129133150972,-21.201048689722878,11.607374
3541672539574928256,175.1789848433344,-21.0863978499501,10.485205
3541700302243588736,175.37624777260143,-20.85469601539053,9.448089
3541740743655539584,174.9805788404335,-20.765337176220935,11.689107
3541741499569783936,174.97216316531714,-20.75342286612306,9.656641
3542045789412533248,174.02185597862933,-19.82457511411785,11.781207
3542109526727559808,177.17065511935093,-21.5695251413766,9.920969
3542226796514227072,177.84455511284295,-21.244217322945335,10.436333
3542275449903776128,178.08076454774368,-20.835019418450877,10.829183
3542299501720515072,177.6046562430135,-20.831093360934698,10.248496
3542300498152928256,177.54608571900738,-20.80346786243383,11.001249
3542354786539581568,177.94591700443175,-20.32494303752329,10.968032
3542425945558251008,176.85959952141422,-20.63012521903985,10.827681
3542708966722543744,179.00149973832282,-19.973843556802994,10.012291
3542737072987056896,178.0173303345438,-20.11836046929928,10.516197
3542867124598328064,179.25346111635307,-19.45607499833621,11.255681
3542911620459471360,179.13817990943159,-19.14647446610857,10.778117
3542965702688645632,178.2010861035597,-19.649074456942333,11.671777
3543041809509098112,178.05051207826463,-19.20619255724262,7.373673
3543063524863631872,177.80788419319893,-18.98269179050266,8.530557
3543097987680787712,178.52934459352366,-18.987676609964492,11.229882
3543137054702909312,178.2413912509803,-19.098903977894256,11.547964
3543219518075620608,175.9958270806995,-20.410710463003962,11.810648
3543229894716466560,175.52534107073194,-20.424388918349166,11.892549
3543236801023954560,175.83520656046144,-20.274060174663052,11.896819
3543272775670121856,176.18373089594783,-19.91232306027693,11.877389
3543780646963122048,177.38591751893983,-19.191019429462727,9.123704
3543790783085846528,177.12889924648854,-19.139073889311426,11.404328
3543825417702217344,177.43285244992848,-18.85896608521933,10.845705
3545100885549864704,174.11102324787242,-19.319523678567414,10.307726
3546645424509116160,174.51944800987349,-18.749584511440343,11.081014
3546728025320029312,175.13970604026503,-18.709870433363825,10.554538
3492342366279549440,176.43955273808126,-23.31055762053823,10.20187
3492442868512464640,177.5297411328043,-22.785228364278353,11.178785
3493712181671758080,179.19020259136863,-22.740336361587534,11.124617
3493842375017187840,179.27207925109363,-22.109358879345756,10.707306
3493882163594097920,178.9543427664941,-22.17779778130289,11.452495
3493909685744541184,178.8363033262307,-21.88867439039672,11.650146
3494004759140608128,178.1605506076513,-22.022277866269185,8.97655
3494222050125723264,178.5798704411925,-21.009162843885584,11.124808
3494536304293010688,179.10175664522208,-21.02709337877314,11.816387
3494616671720992896,178.87481642846396,-20.493140657509787,11.658823
3540174077025379712,174.01407415600312,-23.215620404661344,11.460867
3540316566860178560,174.7988695987619,-22.502305126296555,11.769618
3540409063276379264,175.89490846193925,-22.913411333150798,10.396074
3540409784830430848,175.93607675618452,-22.851486952446674,11.510523
3540431637624119936,176.18805094569987,-22.78579519316211,11.565791
3540513585599996544,175.9338754295516,-22.303364133881395,10.930718
3540564678529120512,176.40571595540234,-22.19049005749693,11.667546
3540642022302357504,176.55186102911128,-21.86375510292054,10.267554
3540661431257230848,176.23040676403005,-21.700943941394225,11.775799
3540676759997228288,175.1817159625193,-22.51475254700933,11.622351
3540773379581453184,174.879350037224,-21.865974286382155,11.583422
3540800004082237696,175.00874537423525,-21.6984524728051,9.78294
3541146526340305024,174.20203769039384,-22.012500361181168,9.603294
3541147797650627712,174.18878856385342,-21.93962844581682,11.4261265
3541652129890417152,174.3533843595341,-20.92652568043997,11.0205145
3541661888056080640,175.2319339021831,-21.208906670125558,9.409599
3541669859515385344,175.25621375146306,-21.072641299829176,10.126638
3542122583428199168,177.47653942128906,-21.48914999252177,11.804642
3542171305537012992,176.75709419682136,-21.438840429161203,10.27265
3542246519004044416,177.70891870603793,-21.002969501076013,8.165346
3542305549034470784,177.64418292822765,-20.794793727452724,11.115409
3542421440135579264,176.57505384072564,-20.723834777835876,11.115624
3542562559878407296,177.28310032417008,-20.05664524566967,10.209278
3542814584263075072,179.3414238945505,-19.64524333111151,11.525755
3542897464247262464,179.29711571520474,-19.240855954553844,11.889536
