ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
188.171983,12.772529,13.82,1.2400000095367432,VII/155/rc3,IC   3475
188.176566,14.051142,13.19,1.3300000429153442,VII/155/rc3,IC   3476
188.220733,11.407249,14.38,0.9200000166893005,VII/155/rc3,IC   3481
188.282817,14.575865,12.76,1.2300000190734863,VII/155/rc3,NGC  4516
188.294067,11.349749,15.7,0.7400000095367432,VII/155/rc3,IC   3483
188.30865,10.926137,15.89,0.800000011920929,VII/155/rc3,IC   3490
188.309067,12.858363,15.09,0.6800000071525574,VII/155/rc3,
188.395734,11.259471,15.73,0.7099999785423279,VII/155/rc3,
188.439484,10.995304,14.12,1.159999966621399,VII/155/rc3,IC   3499
188.526984,11.322527,12.97,1.2200000286102295,VII/155/rc3,NGC  4528
188.563234,11.071415,14.87,0.9399999976158142,VII/155/rc3,IC   3510
188.5674,13.076418,12.42,1.4900000095367432,VII/155/rc3,NGC  4531
188.859901,14.496976,10.96,1.7300000190734863,VII/155/rc3,NGC  4548
188.879068,12.221417,12.56,1.5199999809265137,VII/155/rc3,NGC  4550
188.909484,12.265584,12.97,1.2599999904632568,VII/155/rc3,NGC  4551
188.916568,12.556973,10.73,1.7100000381469727,VII/155/rc3,NGC  4552
188.919901,11.666416,15.62,0.5799999833106995,VII/155/rc3,
189.112818,11.439194,12.05,1.5499999523162842,VII/155/rc3,NGC  4564
189.136985,11.258638,12.06,1.4700000286102295,VII/155/rc3,NGC  4567
189.144901,11.237527,11.68,1.659999966621399,VII/155/rc3,NGC  4568
189.165318,11.10336,15.25,0.9399999976158142,VII/155/rc3,IC   3578
189.182818,13.258641,13.31,1.340000033378601,VII/155/rc3,IC   3583
189.209068,13.163363,10.26,1.9800000190734863,VII/155/rc3,NGC  4569
189.236568,14.217531,11.82,1.559999942779541,VII/155/rc3,NGC  4571
189.434485,11.81975,10.48,1.7699999809265137,VII/155/rc3,NGC  4579
189.574069,13.110307,13.77,1.149999976158142,VII/155/rc3,NGC  4584
